firstname,surname,account,group,password
Blue,Team,BlueTeam,Domain Admins,1qazxsW@1
Black,Team,BlackTeam,Domain Admins,YFUrEYxtw%ZlhJD8mXS3vYq$yJh4K
Domain,Join,domainjoin,Domain Join,1qazxsW@1
Rami,Malek,rmalek,"Security,Domain Admins",baseb4ll!
Christian,Slater,cslater,"Security,Domain Admins",asdf1234
Carly,Chaikin,cchaikin,"HR,Remote Desktop Users,Domain Admins,Enterprise Admins",aaaaaaaaaaaa
Martin,Wallstrom,mwallstrom,"HR,Remote Desktop Users,Domain Admins,Enterprise Admins",wrote_it_down
Portia,Doubleday,pdoubleday,"Engineering,Remote Desktop Users",Wf!jJb65&
Michael,Christofer,mchristofer,"Engineering,Remote Desktop Users",!@#$%^&*
Grace,Gummer,ggummer,"Engineering,Remote Desktop Users",hunter2
BD,Wong,bwong,"Engineering,Remote Desktop Users",a1b2c3
Stephanie,Corneliussen,scorneliussen,"Engineering,Remote Desktop Users",WjJbBRhFx7754LW5
Vaishnavi,Sharma,vsharma,"Engineering,Remote Desktop Users",letmein
Gloria,Reuben,greuben,"Engineering,Remote Desktop Users",drowssap
Sunita,Mani,smani,"Engineering,Remote Desktop Users",qwerty
Azhar,Khan,akhan,"Sales,Remote Desktop Users",login
Joey,Badass,jbadass,"Sales,Remote Desktop Users",zxcvbnm
Omar,Metwally,ometwally,"Sales,Remote Desktop Users",passw0rd
Michael,Drayer,mdrayer,"Sales,Remote Desktop Users",busterthedog
Michel,Gill,mgill,"Sales,Remote Desktop Users",love_cooking
Jeremy,Holm,jholm,"Sales,Remote Desktop Users",123456789
